borough,room_type,price_tier,listings,avg_total_price,median_total_price,avg_review_rate,avg_reviews_per_month,instant_bookable_share,high_availability_share
Manhattan,Entire home/apt,Luxury,13662,1077.6895681452204,1082.0,3.2543551456594937,0.9032154882154881,0.4983164983164983,0.40235690235690236
Brooklyn,Entire home/apt,Luxury,10655,1082.6671553261378,1082.0,3.237071797278273,1.2459211637728766,0.4942280619427499,0.34077897700610044
Brooklyn,Private room,Luxury,10590,1078.7576373937677,1080.0,3.2653446647780924,1.0253031161473087,0.49660056657223794,0.3104815864022663
Manhattan,Private room,Luxury,8372,1076.712660057334,1076.0,3.26887243191591,1.2171440516005734,0.49581939799331104,0.3215480172001911
Manhattan,Entire home/apt,Premium,6921,540.3575884987719,540.0,3.304146799595434,0.8884597601502673,0.49515965900881376,0.3966189856957087
Brooklyn,Entire home/apt,Premium,5386,541.7302339398441,545.0,3.3078351281099145,1.2326810248793167,0.5029706646862235,0.3232454511696992
Brooklyn,Private room,Premium,5302,543.6540399849114,545.5,3.2831007167106754,1.0674820822331195,0.5035835533760845,0.32421727649943416
Manhattan,Private room,Premium,4191,545.3377332378907,547.0,3.2872822715342402,1.2936745406824146,0.4831782390837509,0.3340491529467907
Queens,Private room,Luxury,4041,1086.0736599851523,1086.0,3.321702548874041,1.5889581786686462,0.49393714427122,0.38777530314278646
Manhattan,Entire home/apt,Mid-range,3402,268.47108465608466,266.31,3.302469135802469,0.9235008818342152,0.5117577895355673,0.3853615520282187
Queens,Entire home/apt,Luxury,2651,1089.0432251980385,1096.0,3.377970577140702,1.6403960769520933,0.4933987174651075,0.3836288193134666
Brooklyn,Entire home/apt,Mid-range,2619,269.4641695303551,270.0,3.223367697594502,1.1876326842306224,0.4940817105765559,0.3321878579610538
Brooklyn,Private room,Mid-range,2535,272.48558579881654,275.0,3.268639053254438,1.0730650887573965,0.504930966469428,0.31597633136094677
Manhattan,Private room,Mid-range,2204,272.380499092559,271.0,3.2967332123411976,1.1922595281306714,0.4904718693284936,0.3502722323049002
Queens,Private room,Premium,2022,541.3518348170128,537.5,3.33135509396637,1.474104846686449,0.5039564787339268,0.41938674579624136
Manhattan,Entire home/apt,Economy,1689,135.10183540556542,136.0,3.2705743043220843,0.9349851983422144,0.5180580224985198,0.4061574896388396
Brooklyn,Private room,Economy,1414,135.81275813295613,136.0,3.2015558698727014,0.9852050919377652,0.47171145685997173,0.3359264497878359
Queens,Entire home/apt,Premium,1338,537.2435426008968,538.0,3.292227204783259,1.759596412556054,0.47458893871449925,0.398355754857997
Brooklyn,Entire home/apt,Economy,1328,136.15940512048192,136.0,3.1453313253012047,1.1825753012048192,0.4977409638554217,0.32228915662650603
Manhattan,Private room,Economy,1047,136.71171919770774,138.0,3.2989493791786058,1.1885004775549186,0.4976122254059217,0.3256924546322827
Queens,Private room,Mid-range,988,273.7410931174089,277.0,3.314777327935223,1.5560323886639675,0.5192307692307693,0.3805668016194332
Bronx,Private room,Luxury,827,1075.279262394196,1075.0,3.290205562273277,1.3054413542926238,0.4921402660217654,0.4268440145102781
Queens,Entire home/apt,Mid-range,677,268.01025110782865,268.0,3.3677991137370755,1.7183456425406203,0.4726735598227474,0.40472673559822747
Manhattan,Entire home/apt,Budget,594,74.65656565656566,74.0,3.265993265993266,0.8492087542087542,0.4898989898989899,0.4444444444444444
Bronx,Entire home/apt,Luxury,520,1072.275,1051.0,3.3403846153846155,1.8978653846153846,0.5019230769230769,0.4653846153846154
Queens,Private room,Economy,503,134.24290258449304,132.0,3.21272365805169,1.4844135188866798,0.4671968190854871,0.37375745526838966
Manhattan,Shared room,Luxury,476,1090.0249159663865,1093.0,3.2794117647058822,1.3097689075630252,0.5063025210084033,0.37184873949579833
Brooklyn,Shared room,Luxury,458,1078.5281222707424,1078.0,3.388646288209607,0.7293668122270742,0.4847161572052402,0.4279475982532751
Brooklyn,Entire home/apt,Budget,443,75.12189616252822,76.0,3.2799097065462752,1.0713995485327314,0.49435665914221216,0.309255079006772
Brooklyn,Private room,Budget,437,74.88558352402745,74.0,3.1578947368421053,0.9003203661327231,0.4851258581235698,0.30205949656750575
Bronx,Private room,Premium,430,535.2572093023256,537.5,3.3046511627906976,1.3964883720930232,0.513953488372093,0.42790697674418604
Manhattan,Private room,Budget,398,75.37713567839195,76.0,3.1658291457286434,1.1425376884422112,0.5125628140703518,0.3492462311557789
Queens,Entire home/apt,Economy,328,138.39329268292684,139.0,3.3048780487804876,1.6101829268292682,0.4817073170731707,0.43597560975609756
Bronx,Entire home/apt,Premium,291,539.3573883161512,535.0,3.343642611683849,1.8001374570446735,0.5051546391752577,0.3917525773195876
Staten Island,Entire home/apt,Luxury,263,1071.3608365019013,1092.0,3.311787072243346,1.7491634980988593,0.4828897338403042,0.4524714828897338
Staten Island,Private room,Luxury,222,1069.6801801801803,1074.0,3.3468468468468466,1.4861711711711711,0.5855855855855856,0.5315315315315315
Manhattan,Shared room,Premium,216,544.7685185185185,569.0,3.2175925925925926,1.1758796296296297,0.5,0.46296296296296297
Queens,Shared room,Luxury,198,1092.560606060606,1110.0,3.257575757575758,1.1506565656565655,0.5202020202020202,0.4595959595959596
Bronx,Private room,Mid-range,184,271.6195652173913,278.0,3.402173913043478,1.5744021739130434,0.5054347826086957,0.483695652173913
Brooklyn,Shared room,Premium,172,520.0639534883721,509.5,3.2325581395348837,0.8034302325581395,0.5174418604651163,0.42441860465116277
Queens,Private room,Budget,137,75.66423357664233,76.0,3.204379562043796,1.5644525547445256,0.48905109489051096,0.3795620437956204
Staten Island,Private room,Premium,126,561.984126984127,578.0,3.6746031746031744,1.1501587301587304,0.5079365079365079,0.5952380952380952
Staten Island,Entire home/apt,Premium,126,518.6825396825396,493.0,3.3492063492063493,2.0987301587301586,0.5476190476190477,0.5
Manhattan,Shared room,Mid-range,116,274.2413793103448,276.0,3.0344827586206895,1.555258620689655,0.5,0.39655172413793105
Bronx,Entire home/apt,Mid-range,116,266.5258620689655,262.5,3.4655172413793105,1.7387931034482758,0.5258620689655172,0.3793103448275862
Brooklyn,Shared room,Mid-range,113,273.76106194690266,276.0,3.424778761061947,1.1116814159292037,0.6106194690265486,0.6194690265486725
Queens,Entire home/apt,Budget,111,73.82882882882883,73.0,3.4234234234234235,1.909099099099099,0.5495495495495496,0.36936936936936937
Bronx,Private room,Economy,96,136.37510416666666,133.0,3.4270833333333335,1.26875,0.5729166666666666,0.5833333333333334
Queens,Shared room,Premium,85,535.1176470588235,539.0,3.458823529411765,0.7835294117647058,0.5529411764705883,0.5058823529411764
Staten Island,Private room,Mid-range,68,263.37779411764706,262.0,3.6176470588235294,0.9248529411764705,0.5147058823529411,0.5882352941176471
Bronx,Entire home/apt,Economy,66,142.54545454545453,145.0,3.272727272727273,1.5946969696969697,0.42424242424242425,0.4090909090909091
Manhattan,Shared room,Economy,66,128.78257575757576,121.5,3.5454545454545454,1.6313636363636363,0.5454545454545454,0.4696969696969697
Bronx,Shared room,Luxury,60,1054.7833333333333,1082.0,3.0833333333333335,0.9815,0.5666666666666667,0.5333333333333333
Brooklyn,Shared room,Economy,59,131.40677966101694,133.0,3.3559322033898304,0.8216949152542372,0.4576271186440678,0.6610169491525424
Manhattan,Hotel room,Luxury,55,1099.722909090909,1126.0,3.4545454545454546,2.5149090909090908,0.5454545454545454,0.6727272727272727
Staten Island,Entire home/apt,Mid-range,48,272.8958333333333,275.5,3.0416666666666665,1.7562499999999999,0.5416666666666666,0.4166666666666667
Queens,Shared room,Mid-range,45,280.93333333333334,287.0,3.577777777777778,1.6326666666666667,0.4888888888888889,0.5777777777777777
Manhattan,Hotel room,Premium,34,560.4705882352941,559.5,3.676470588235294,3.633529411764706,0.5882352941176471,0.5294117647058824
Staten Island,Private room,Economy,31,127.83870967741936,122.0,3.161290322580645,0.7780645161290323,0.41935483870967744,0.6774193548387096
Bronx,Shared room,Premium,27,501.8888888888889,479.0,3.6666666666666665,0.9081481481481481,0.5185185185185185,0.2222222222222222
Staten Island,Entire home/apt,Economy,26,134.5,130.5,3.6538461538461537,1.9665384615384613,0.46153846153846156,0.5
Bronx,Entire home/apt,Budget,24,75.75,78.5,3.1666666666666665,1.83125,0.625,0.4583333333333333
Bronx,Shared room,Mid-range,20,286.7,314.5,3.25,1.068,0.55,0.2
Bronx,Private room,Budget,18,76.55555555555556,75.0,3.8333333333333335,1.7455555555555555,0.3333333333333333,0.3333333333333333
Manhattan,Shared room,Budget,18,74.66666666666667,76.0,3.5555555555555554,2.0255555555555556,0.5555555555555556,0.6111111111111112
Brooklyn,Shared room,Budget,17,71.17647058823529,71.0,2.176470588235294,0.5429411764705883,0.8235294117647058,0.29411764705882354
Queens,Shared room,Economy,16,146.4375,156.5,3.9375,1.54875,0.625,0.6875
Queens,Shared room,Budget,15,76.86666666666666,78.0,3.066666666666667,0.9553333333333334,0.26666666666666666,0.6
Staten Island,Shared room,Luxury,11,1003.2727272727273,955.0,3.5454545454545454,0.6218181818181818,0.5454545454545454,0.18181818181818182
Staten Island,Private room,Budget,11,73.63636363636364,78.0,3.727272727272727,1.288181818181818,0.36363636363636365,0.45454545454545453
Staten Island,Entire home/apt,Budget,10,77.4,82.0,4.1,1.323,0.2,0.5
Bronx,Shared room,Economy,7,134.14285714285714,131.0,3.0,0.9242857142857144,0.5714285714285714,0.5714285714285714
Manhattan,Hotel room,Mid-range,6,285.1666666666667,302.0,3.3333333333333335,7.926666666666667,0.6666666666666666,0.5
Brooklyn,Hotel room,Luxury,5,1053.6,1008.0,4.2,0.522,0.8,0.4
Queens,Hotel room,Premium,4,447.75,441.0,4.0,0.595,0.25,0.75
Staten Island,Shared room,Premium,3,542.0,460.0,4.0,0.06666666666666667,0.0,0.0
Manhattan,Hotel room,Economy,3,133.0,125.0,3.0,0.39666666666666667,0.3333333333333333,0.6666666666666666
Queens,Hotel room,Luxury,2,945.0,945.0,2.5,0.78,0.0,1.0
Queens,Hotel room,Mid-range,2,239.0,239.0,4.5,0.43999999999999995,0.5,0.0
Manhattan,Hotel room,Budget,2,74.0,74.0,3.0,5.425,0.5,0.0
Brooklyn,Hotel room,Premium,1,414.0,414.0,2.0,0.81,0.0,0.0
Brooklyn,Hotel room,Mid-range,1,295.0,295.0,4.0,0.15,0.0,1.0
Staten Island,Shared room,Mid-range,1,218.0,218.0,2.0,0.0,1.0,0.0
Bronx,Shared room,Budget,1,76.0,76.0,5.0,0.0,0.0,1.0
